lang,orig_text,orig_translation
czech,"Understanding how the West beat the rest gives us an insight not just into the past but also into the future, and I think you'II agree, it helps answer the question that could be the most important of our time.","Pochopení toho, jak Západ porazil zbytek nám dává nahlédnout nejen do minulosti, ale také do budoucnosti, a myslím, že budete souhlasit, že nám to pomůže odpovědět na otázku, která by mohla být nejdůležitější v naší době."
czech,"In the space of just a generation, in the fifth century AD, the Roman Empire in Western Europe essentially fell apart - the aqueducts dried up, the roads overgrown, the circuses deserted.","V období jen jedné generace, v pátém století n.l. se Římská říše v západní Evropě v podstatě rozpadla - akvadukty vyschly, silnice zarostly, arény byly opuštěny."
czech,"Question - could something similar happen to Western civilization 2.0 - the version that, after a millennium of stagnation, rose to dominate the world?","Otázka - mohlo by se něco podobného přihodit západní civilizaci podruhé - verze, která, po tisíciletí stagnace, přijde ovládnout svět?"
czech,"Beset by economic crises and by environmental fears, the West today is also waking up to a growing Eastern challenge to its political and military supremacy.","Sužován ekonomickými krizemi a obavami o životní prostředí, se Západ dnes také probouzí k rostoucí Východní výzvě jeho politické a vojenské nadvládě."
czech,"We tend to assume that it was Western technology that trumped the East... in particular, the technology that went on to produce the industrial Revolution.","Máme tendenci se domnívat, že to byla západní technologie, která překonala východ ... zejména, technologie, která pokračovala v produkci průmyslové revoluce."
czech,"The restoration and improvement of the canal was part of a plan to stimulate China's economy, masterminded by the formidable Ming emperor known as Yongle.","Obnova a zlepšení kanálu bylo součástí plánu stimulovat čínskou ekonomiku, vedenou impozantním císařem dynastie Ming známým jako Yongle."
czech,"Yes, I know we're taught to think of Henry V as one of the great heroes of english history, but I'm afraid his kingdom was very far from the ""sceptred isle""","Ano, vím, že jsme se učili myslet na Henryho V jako na jednoho z velkých hrdinů anglické historie, ale obávám se, že jeho království bylo velmi vzdálené od ""vládnoucího ostrova"""
czech,"The ravages of the Black Death, the bubonic plague that had devastated Europe in the early 1 4th century, had reduced the city's population to around 40,000, less than a 20th the size of Nanjing's.","Černá smrt, dýmějový mor, který zdevastoval Evropu na počátku 14. století, snížil populaci města na asi 40.000 lidí 20 krát méně než byl Nanjing."
czech,"Without any proper sewage system, medieval London stank to high heaven, whereas human excrement was routinely collected in Chinese cities and spread on outlying fields.","Bez řádného kanalizačního systému, středověký Londýn smrděl na sto honů, zatímco lidské exkrementy v čínských městech se shromažďovali a rozptylovali po vzdálených polích."
czech,"As a new century dawned in 1 400, the emperor YongIe had another transport technology at his disposal, which had the potential to make him master, not just of the middle Kingdom, but of the entire global market.","Na prahu nového století, v roce 1400, měl císař Yongle k dispozici další dopravní techniku, která měla potenciál udělat z něho vládce a to nejen Říše Středu, ale celého globálního trhu."
czech,"What they're building here in Nanjing is a fuII-scaIe replica of one of the treasure ships of admiral Zheng He - the most famous sailor in Chinese history, the man who very nearly turned the middle Kingdom into a global empire.","To, co vybudovali tady v Nanjingu je zmenšená replika jedné z unikátních lodí Admirála Čeng Chea - nejslavnějšího námořníka v čínské historii, muž, který málem změnil Říši Středu na globální říši."
czech,"Some scholars speculate they reached as far as northern australia, the Cape of Good Hope and greenland, and all this was years before the European Age of exploration had so much as begun.","Někteří vědci spekulují, že dorazili až do severní Austrálie, k Mysu Dobré Naděje a do Grónska a to všechno roky před začátkem Evropského věku zkoumání."
czech,"The Portuguese had the brilliant idea that if they could find an alternative route, all the way around the coast of Africa, round the Cape of Good Hope and into the Indian Ocean... then this business could be theirs.","Portugalec měl vynikající nápad, že pokud by našel alternativní cestu, cestu kolem celého pobřeží Afriky, kolem mysu Dobré naděje a do Indického oceánu ... pak by tento obchod mohl být jejich."
czech,"It was here in the Castle of St George in the hills above Lisbon that the newly crowned Portuguese King Manuel appointed da Gama to command a fleet of ships, to make discoveries and go in search of spices.","Bylo to tady na hradě svatého Jiří v kopcích nad Lisabonem kde nově korunovaný Portugalský král Manuel jmenoval da Gamu velitelem flotily lodí, aby vykonal objevy a šel hledat koření."
czech,"As we'II see, there was more than one killer app, but the one that really started the ball rolling was surely competition - both the main driver of capitalism and of the fragmented European state system.","Jak uvidíme, existovala více než jedna vražedná aplikace, ale fakt, který to uvedl do pohybu byla zcela jistě soutěž - hlavní tahoun kapitalismu a roztříštěného Evropského systému států."
czech,"When he and his fellow sailors rounded the Cape of Good Hope, the southernmost tip of Africa, they weren't wondering, as the Chinese had, if they could find some exotic animals to take home to their king.","Když on a jeho námořníci obepluli Mys Dobré naděje, nejjižnější cíp Afriky, nezajímali se jako Číňané, jestli by mohli najít nějaké exotické zvířata, která by přivezli domů svému králi."
czech,"well, you can find the answer here in the bowels of the British Library by looking at wonderful old maps like this one, which is of the city-state of Lubeck, dating back to 1530.","Můžete najít odpověď tady v útrobách Britské knihovny nahlédnutím do báječných starých map jako tato, která je z městského státu Lübeck, datující se do roku 1530."
czech,"I can't help feeling the message of these maps is ""divide and rule"", except that it was by being divided that the Europeans ended up ruling the rest of the world.","Nemůžu se zbavit pocitu, že zpráva těchto map je ""rozděl a panuj,"" až na výjimku to bylo tím, že rozdělení Evropané skončili jako vládci zbytku světa."
czech,"That means that the lord mayor, the sheriffs, the city council, the freemen, the Iiverymen and the aldermen are all more than 800 years old, making this the world's oldest autonomous commercial institution.","To znamená, že starosta, šerifové, městská rada, svobodní občané, řemeslníci a radní jsou všichni více než 800 let staří, to z nich dělá v tomto světě nejstarší autonomní komerční instituce."
czech,"And that's where power used to lie - with the drapers, the goldsmiths, the grocers, the haberdashers, ironmongers, mercers, the saIters, the shearers, the skinners - not forgetting the tailors and the vintners.","A to je to, kde ležela síla - obchodníci s textilem, zlatníci, kupci, galanterie, majitelé železářství, obchodníci s látkami, se solí, střihači, kožešníci - nezapomínejme na krejčí a vinaře."
czech,"Dating back to the middle Ages, they're a reminder of the amazing power - economic and political - that used to be wielded by London's craftsmen and merchants.",Kořeny sahají až do středověku jsou připomínkou úžasné moci - ekonomické a politické - kterou vládli Londýnští řemeslníci a obchodníci.
czech,"The English mechanical clock was not only more accurate than the Chinese water clock - it was also designed to be sold widely, rather than monopolised by the emperor's astronomers. IAN:","Anglické mechanické hodiny nebyly jen přesnější než Čínské vodní hodiny - byly také navrženy tak aby se široce prodávaly, spíše než zmonopolizovaná císařská astronomie."
czech,"Just take a walk from the Protecting Harmony hall to the middle Harmony hall, where the emperor had his private quarters, to the hall of Supreme Harmony, where the Dragon Throne itself sat. Harmony, harmony, harmony.","Stačí jen projít síni Ochranné Harmonie k síni Prostřední Harmonie, kde měl Císař své soukromé komnaty, do síně Nejvyšší Harmonie, kde stál samotný Dračí Trůn."
czech,"In China, Imperial rule was implemented by a Confucian bureaucracy, recruited on the basis of perhaps the most terrifying set of exam papers in all history.","V Číně, bylo císařské pravidlo realizováno podle konfuciánské byrokracie, přijímáni na základě asi nejděsivějšího souboru zkoušek v celé historii."
czech,"Thousands of wannabe mandarins would be locked in these cells, just three-and-a-half feet deep, about the same width, and only five-and-a-half feet high.","Tisíce aspirantů na mandaríny bylo uzamčeno v těchto celách, jen tři a půl stopy dlouhé, o stejné šířce, a jen pět a půl stopy vysoké."
czech,"During the time an examination lasted, the only movement allowed was the passage of servants, replenishing food and water supplies, or removing human waste.","V době trvání zkoušky jediný povolený pohyb byl průchod sluhů, doplňujících zásob potravin a vody, nebo odstraňování fekálií."
czech,"No doubt after nine long days shut in a shoebox, it was the most able, and the certainly most indefatigable, candidates who passed the imperial examination.","Není pochyb o tom, že po devíti dlouhých dnech zavřených v krabici od bot, jen nejschopnější a nejneúnavnější kandidáti složili císařské zkoušky."
czech,"As England's population growth accelerated in the late 1 7th century, trade brought an influx of new nutrients like potatoes and sugar, while colonisation allowed the emigration of surplus people.","Jak se Anglický populační růst zrychlil na konci 17. století, obchod přinesl příliv nových živin, jako jsou brambory a cukr, zatímco kolonizace dovolila emigraci přebytečných lidí."
macedonian,"I am speaking of Charles Foster Kane, the fighting liberal the friend of the workingman, the next governor of this state who entered upon this campaign... To point out and make public the dishonesty the downright villainy of Boss Jim W. Gettys' political machine now in complete control of the government of this state.","Зборуваме за Чарлс Фостер Кејн борбениот либерал, пријателот на работниците, следниот гувернер кој влезе во кампањата со само една намера да ги обелодени нечесноста и злото на политичката машина на Џим Гетиској целосно ја контролира"
macedonian,"On December 12, outnumbering us 3 to 1 on a narrow portion of the front, with massive support of the air force and a five to one edge in armored divisions, the enemy broke through our defenses, forcing their way across the Aksay. After 72 hours of fighting they have advanced 45 kilometers toward Stalingrad.","На 12 декември, создавајки трикратна надмоќ на тесен дел од фронтот, со постојана подршка на авијацијата, имајки 5-6-кратна надмоќ во тенкови, противникот ја проби нашата линија, ја премина реката Аксај и по три дена борби се приближи на 45 км во правец кон Сталинград."
macedonian,"Beyond that... this network may be the most significant profit center... of the communications complex... and based upon the projected rate of return on invested capital... and if merger is accomplished, the communications complex... may well become the towering and most profitable center... in the entire CCA empire.","Освен тоа... оваа мрежа може да биде најзначајниот центар за профит... на овај комуникацискиот комплекс... базирана на предвиденото повраќање на вложените пари... и ако планот е постигнат, комуникацискиот комплекс... може да стане најголемиот и најисплатлив центар... на цела CCA империја."
macedonian,"I want to present to the court a writ of habeas corpus a writ of corpus delicti and a writ of ad nauseam charging that my client is deprived of his rights of ipso facto lux et veritas and e pluribus unum. And I insist on his immediate release under the precedence set by Section 8, Paragraph 95 of Rogers v. Semper Fidelis.",Сакам да му го предочам на судот доказ за ослободуванје од недоследно апсење поради слаби докази за извршените злодела и нарушувањето на конституционалните права на мојот клиент.
macedonian,"On behalf of all the citizens of Philadelphia and the many who have been touched by your accomplishments and your untiring participation in this city's many charity functions, it is with tremendous honor that we present this memorial which will stand always as a celebration to the indomitable spirit of man.","Во име на граѓаните на Филаделфија и оние кои се погодени од вашите достигнувања и вашето неуморно залагање за голем број добротворни донации на овој град, со голема чест ви го представуваме овој споменик, кој засекогаш ќе стои во чест нескршливиот дух на човекот."
macedonian,"I want him brought right here with a big ribbon on his head and I want to look him straight in the eye and I want to tell him what a cheap, lying, no good, rotten low-life, snake-licking, dirt-eating, inbred, overstuffed ignorant, bloodsucking, brainless, dickless, hopeless heartless, fat-assed, bug-eyed, stiff-legged, spotty-lipped worm-headed sack of monkey shit he is!","Сакам да го донесат тука Со голема машна на главата Да го погледнам право во очите i da mu kaћemи да му кажам како е покварено, лажливо подмукло идиотско, крвопијско, моронско, импотентно бездушно и дебело гомно!"
macedonian,"Lecter altered or destroyed most of his patients' histories, so there's no record of anyone named Mofet, but I thought the ""yourself"" reference was too hokey for Lecter, so I figured he's from Baltimore and I looked in the phone book and there's a ""Your Self"" storage facility right outside of downtown Baltimore, sir.","Лектер ги преправил или уништил поголемиот број на истории на болести, па не постојат белешки на никој по име Мофет, но мислев да споменување на приватно искуство звучи премногу сентиментално за Лектер, па, прибидејќи е од Балтимор, погледнав во телефонскиот именик"
macedonian,"Mr. Kimble having considered all the factors and aggravation and mitigation in this case and found the offense was brutal and indicative of wanton cruelty it's judgment of this court, you will be remanded to Illinois State Penitentiary where you will await execution by lethal injection on a date to be set forth by the Attorney General of the State.","Г_не. Кемпбел, земајќи ги в предвид сите докази и околности во случајов, го оценувам нападот како брутален и безмилосен. Судот одлучи да бидете задржани во државниот затвор на Илиноис, се до денот на погубувањето кое ќе се изврши со инекција."
macedonian,"This was your great-grandfather's war watch and he wore it every day he was in that war and when he'd done his duty, he went home to your great-grandmother took the watch off, put it in an old coffee can and in that can it stayed until your granddad, Dane Coolidge, was called upon by his country to go overseas and fight the Germans once again.","Ова бил часовникот на прадедо ти во војната, и го носел секој ден додека бил во војна, а... кога му изминала должноста, се вратил дома кај прабаба ти, го извадил часовникот, го ставил во стара конзерва од кафе, и останал во конзервата... сѐ додека дедо ти, Ден Кулиџ, не го повикаа... да оди преку океанот за да се бори со Германците пак."
macedonian,"It was while at the courthouse that this man, his younger brother, Richard Gecko, a known armed robber and sex offender pulled off a daring daylight escape, resulting in the death of four Wichita law enforcement officers, and this woman, Heidi Vogel, sixth grade teacher, who was run over by the Geckos... during a high-speed pursuit through downtown Wichita.","Во текот на судењето, овој човек, помладиот Ричард Греко, познат разбојник и сексуален престапник, дрско побегна кога се убиени 4 полицајци и учителката Х.Вогел, која браќата Греко ја прегазија при бегството."
macedonian,"Kelly Lange here for Channel 3 lsland News. A tragic accident has claimed the life of a businessman identified as Steven Bishop, when a huge grand piano fell from the 17th floor of the Mayan Hotel... when a huge grand piano fell from the 17th floor of the Mayan Hotel... directly behind me and landed on his car.","Трагична несреќа го одзеде животот на бизнисмен идентификуван како Стивен Бишоп, кога огромно пијано падна од 17-тиот кат од Мајан хотелот... директно врз неговата кола."
macedonian,As the pesky poachers grunted and groaned... pushing and pulling the ponderous primate along... the trusty Tookie-Tookie bird was already winging to the rescue... making a bird-line for San Francisco... where George of the Jungle was trying to give the heiress Ursula... the courage to face her parents... by helping her discover the juju within.,"Одиме. Додека одвратните ловокрадци мумлаа и цимолеа, туркајќи го и влечејќи го тешкиот мајмун, доверливиот Токи веќе брзаше за спас кон Џорџ, летајќи брзо директно на пат за Сан Франциско, каде што Џорџ на Урсула сакаше да и' даде"
macedonian,"In a few hours, she'll probably be sane enough to work herself... into some sort of towering Jesus-based rage at the hazy recollection... of being seduced by some kind of cruel Samoan... who fed her liquor and LSD, dragged her to a Vegas hotel room... and then savagely penetrated every orifice in her little body... with his throbbing, uncircumcised member.","За неколку часа ќе биде доволно свесна, и ќе и стане јасно, иако сеќавањата ќе и бидат малку магливи, дека ја завел некој суров Самоанец, кој ја напил и издрогирал со ЛСД, ја одвлекол во хотел во Вегас, и потоа дивјачки пенетрирал во секој отвор на нејзиното мало тело, со својот набрекнат и необрежан ""врсник""."
macedonian,"We at our state-of-the-art solar-powered Biocyte building, recognize that eternal vigilance is the price of health, whether it's funding the teaching center at the Royal Prince Edward Hospital, removing aerosol products from the market... or braving the influenza quarantine at Bruny Island late last month.","Ние, во нашето уметничко дело, зградата на Биосет, со погонот на соларната енергија, дознавме дека вечната будност е цена на здравјето, било за финансирање на центарот за обука во болницата Ројал Принц Едвард, тргнувајќи ги аеросолните производи од пазарот... или спротивставувањето на грипот на островот Бруни, минатиот месец."
macedonian,"My friends, this is Larry David... the man who refused to hire a sister for a job... for which I was clearly qualified, because he's a racist, a bona fide racist... who preferred not to work with any black people under any circumstances... and gives all the good jobs to his white wife's white friends.","Пријатели мои, ова е Larry David... човекот што одби да ангажира сестра за работа... за која очигледно бев квалификувана, затоа што е расист, вистински расист... кој преферира да не работи со никој од црните луѓе, под никакви околности... и сите добри работи ги дава на белите пријатели на неговата жена."
macedonian,"This is a victory forthe mentally ill... and before Emil is taken on the boat... to the psychiatric ward at Rikers Island... it should be noted thatwhat he did... he wasforced to do... by Oleg Razgul, a dangerous and demented individual... who is at liberty right now... in the streets of New York, and both Emil and I...","Ова е победа за ментално болните. И пред Емил да биде префрлен со брод на психијатриската клиника треба да се знае дека за се она што го сторил, го натерал Олег Разгул исклучително опасна личност која се уште е на слобода некаде на улиците на Њујорк."
macedonian,"Do you understand that the world does not revolve around you... and your ""do whatever it takes, ruin as many people's lives""... so long as you can make a name foryourself as a journalist... no matter how many friends you lose... or people you leave dead and bloodied along the way... just so long as you can make a name foryourself as a journalist... no matter how many friends you lose... or people you leave dead and bloodied and dying along the way?","Дали ти разбираш дека светот не се врти околу тебе. и дека твоето ""правам што ќе посакам"" уништува други животи, додека ти си градиш име како добар новинар, без разлика колку пријатели ќе загубиш, или колку луѓе ќе оставиш раскрвавени додека го правиш тоа, се додека ти си градиш име како добар новинар, без разлика колку пријатели ќе загубиш, или колку луѓе ќе оставиш раскрвавени додека го правиш тоа ?"
macedonian,"I hope these gentlemen are treating you correctly... in the way you should be treated... and speaking of which, I'm going to Spain next week... so, um, if your kidnappers would like to contact me... they can get in touch with my people... and you know who they are... and, uh, the house is waiting for you right here,","Се надевам дека овие господа се однесуваат коректно... на начин како што треба да се однесуваат со тебе. така да, ќе одам во Шпанија следната недела... па, ако твоите киднапери сакаат да контактираат со мене... може да се јават кај моите луѓе... а ти знаеш кои се тие... и, а, куќата се уште те чека тука,"
macedonian,Let's get in the car... and we'll just drive and drive and drive and drive... and then we'll stop at the perfect place... and we'll stay there for as long as we want to... and then we'll get back in the car... and then we'll drive and drive and drive and drive... and we'll find another perfect place.,Да одиме во колата... и само ќе возиме и возиме и возиме... и после ќе застанеме на совршено место... и ќе останеме таму колку што сакаме... и пак ќе се вратиме во колата... и пак ќе возиме и возиме и возиме... и пак ќе најдеме друго совршено место.
macedonian,"Yes, well, Kafir Aghani has spent his entire life... defending the basic human rights... of his own people, and today's verdict... has been the result of five years of struggle... by this woman, Eleanor Heaney... to save the man she loves from an extradition order... that would've been tantamount to a death sentence.","Да, видете, Кафир Агани го поминал целиот свој живот... бранејќи ги основните човекови права на сопствениот народ? и денешната пресуда е резултат на петгодишната борба на оваа жена, Еленор Хини да го спаси свој сакан, од наредбата за екстрадикција која сигурно претставува воедно и смртна пресуда."
macedonian,"And do you, my handsome nephew take Natalie to be your lawful wedded wife through the good times and the bad times and the times she won't talk to you for months and even worse, when she will so you pretend you're asleep so she'll leave you alone but you lie there listening to her grind her teeth hour after hour like a fucking hacksaw?","И дали ти, мој згоден внук... за земаш Натали да биде твоја невеста... низ добрите времиња и лошите времиња... и кога таа нема да ти зборува со месеци... и уште полошо, кога таа ќе... па ти ќе се преправаш дека спиеш за да те остави на мира... но ти ќе лежиш само и ќе ја слушаш како чкрипи со забите... час по час... Како ебен бонсек?"
macedonian,"It was Liz who actually noticed it, but the resemblance to myself was absolutely uncanny. So we commissioned a lawyer to begin tracking down court records, passenger ship lists, that sort of thing, and it was finally confirmed just last week via what is known round here as the Lynchburg Convergence, where a certain Trevor Berman and a hood girl known as Ethel, wed and had two boys","Лиз беше таа што ја за- бележа,сличноста со мене е неоспорна.Затоа најмивме адвокат за да ги провери судските досиеа,патните листи и слично.Конечно минатата недела тој ни потвреди дека како резултат на она што овде е познататото како Линчберг- ско вкрстување во кое извесен"
macedonian,"Coming together at a maximum speed of let us say, 10 miles per hour. So you have a fly on the tire of bicycle ""B"" and the fly, who can travel at 20 miles an hour leaves the tire of �B� and flies to the tire of bicycle �A� and backwards and forwards until the two bikes collide and the poor little fly is squashed.","...Значи имате една мува на гумата од точакот Б и мувата, која лета 20 миљи на час, заминува од гумата на точакот Б и слетува на гумата од точакот А и обратно... итн... се додека двата точаци се судрат и кутрата мува е згмечена."
macedonian,"Well... we had to... to have a complete system, you need to have a kernel, which is the program that allocates resources to all the other programs, you need a compiler, which translates a program from readable source code that programmers can understand into numbers, mysterious numbers that the computer can actually run.","Па... требаше... за да имаме комплетен систем, треба да имате кернел, што е програма која ги распределува ресурсите за сите други програми, потребен ви е компилатор, кој знае да преведува програми од читлив изворен код, што го разбираат програмерите, во броеви,"
macedonian,"We took it over as kind of the development part of Red Hat software and stayed that way till about November of 1995 when... a toilet we had in the apartment kind of exploded, flooded our downstairs neighbor and she got little upset and... the apartment folks found out we were running a business there","Го сфативме тоа како еден вид развоен дел на софтверот на Red Hat и останавме до ноември 1995 кога... тоалетот во станот во кој бевме експлодира поплавувајќи ја сосетката под нас која беше малку вознемирена, а... газдите на станот открија дека тука водиме бизнис"
macedonian,"That our big win, the big score that gave us mainstream visibility and credibility with investors came not because of bottom up evangelism from a bunch of engineers, but because one strategist at the top saw the potential power of this method and then essentially imposed that vision on everyone underneath him.","Нашата голема победа, која ни даде главна видливост и кредибилитет кај инвеститорите дојде не поради евангелизмот на група инженери од дното, туку поради еден стратег од врвот кој ја согледа потенцијалната моќ на оваа метода и потоа ја наметна таа визија на сите под него."
macedonian,"In other words, you play an actor... and the actor is having a tough time getting work... because he was on this mega-hit series, like a Seinfeld kind of series... and now this actor, after the series goes off the air... he can't get work anymore... because he's so identified with this character... that they won't let him do anything else.","Со други зборови, ќе играш актер... и актеров има тешкотии да најде работа... затоа што бил во мега хит серија, серија како Сајнфелд... и сега актеров, откога серијава завршува... не може никаде да најде работа... затоа што толку многу го поистоветуваат со ликот... не му даваат да прави ништо друго."
macedonian,"This is to us, for successfully... let me give you a little more... puttin' together something collectively... so ingenious as a team and a duo... that we should definitely be able to secure... a lot of food on the table for ourselves... as long as everything goes as nicely... as it's goin' right now.","Ова е за нас, за успешно... Дај да ти додадам малку... составување на нешто колективно, толку генијално како тим и како дует... што сигурно ќе можеме да си обезбедиме... многу храна на масата... се додека се оди фино... како што ни оди сега."
macedonian,"Burning love I'm just a hunk, a hunk of burning love I'm just a hunk, a hunk of burning love I'm just a hunk, a hunk of burning love I'm just a hunk, a hunk of burning love I'm just a hunk, a hunk of burning love I'm just a hunk, a hunk of burning love I'm just a hunk, a hunk of burning love I'm just a hunk, a hunk of burning love I'm just a hunk, a hunk of burning...",К Р А Ј
macedonian,I've been out of work... since this whole thing happened... and I had to have lots of doctors and lawyers... and I got stacks of mail from people... saying that they hate me... because I took away their heavyweight champ... and that I'm a gold digger and all that... but I say walk a mile in my shoes.,"Од кога се случи тоа, јас веќе не работам. Мора да имам многу доктори и адвокати. Добивам писма од луѓе кои ми пишуваат дека ме мразат затоа што им го одземав шампионот во тешка, и дека сум материјалистка."
bulgarian,"I'm about to follow water's journey around the planet from the oceans to the clouds, from a storm to a flood, because I want to experience the awesome power it can unleash.","Ще проследя движението на водата около планетата – от океаните до облаците, от бурите до наводненията, защото искам да усетя страховитата й мощ."
bulgarian,"Benedikte knows only slightly more about meteorology than I do, but the ratings show that her glowing smile and confident presentation keeps the audience happy and willing to receive the somewhat familiar weather forecasts.","Бенедикте разбира от метеорология съвсем малко повече от мен, но рейтингът показва, че блестящата й усмивка и уверен говор са приятни за зрителите и те гледат така или иначе еднообразните прогнози."
bulgarian,"There are many ocean currents that move water around our planet, but there's one, a master current out in the North Atlantic, that's the drive belt of our weather systems.","Съществуват много течения, пренасящи водата по планетата, но в северната част на Атлантическия океан е най-голямото и важно. Това е основата на нашия климат."
bulgarian,"The Conveyor's first stop is in the Indian Ocean, and, much later, in the Pacific Ocean, where the whole system then curves around and the cycle repeats itself.","Първата ""спирка"" на Конвейера е в Индийския океан, а след това, след много време, в Тихия океан, където прави завой и кръгът се затваря."
bulgarian,"After a 6,000-mile journey within the Conveyor, the water that fell as rain in Bergen over 500 years ago is about to become part of the biggest rainstorm on the planet.","След 10 000 км с Конвейера, дъждът от Берген преди 500 години ще стане част от една от най-големите бури на планетата."
bulgarian,"It's an intense period, because in a few months' time those monsoon breezes rushing in from the sea will reverse themselves, leaving just the merciless heat of the sun.","Това е напрегнато време, защото само след няколко месеца ветровете от морето ще се обърнат и ще остане само безпощадната горещина от Слънцето."
bulgarian,"Some will evaporate and many last only a few minutes. Even when there's plenty of water in a cloud, there's often a lack of the vital ingredient to make a raindrop - a little something for the moisture to gather round.","Известно количество ще се изпари, но дори и така ще остане предостатъчно, понякога дори прахът във въздуха не стига за водата - частичката, по която да полепне водата."
bulgarian,"With one corn field requiring 4,000 gallons of water each day and a single cloud containing just enough for one acre, the question is how do you tease the rain from the clouds?","С царевично поле, нуждаещо се от 1.5-2 тона вода дневно и един-единствен облак с точното количество вода, въпросът е как да свалим тази вода на земята."
bulgarian,"Whilst moving the dry ice into the freezer, they noticed the air around them became so cold that the warm water vapour in their breath instantly froze into tiny ice crystals.","Когато вкарвали сухия лед във фризера, забелязали, че въздухът се охладил толкова, те влагата в дъха им замръзвала на кристалчета."
bulgarian,"This chance discovery led the scientists to wonder if they put man-made crystals, imitating the ice, into the cloud, would the cloud produce more rain?","Това случайно откритие накарало учените да се запитат какво би станало, ако сложат тези кристалчета в облака. Дали от облака ще падне повече дъжд?"
bulgarian,"Here in Texas, in the afternoon, we get heavy thunderstorms, and we'll go up and fight through the main updraught, as that's where our chemicaliser is most effective.","В Тексас бурите са жестоки, а нашата работа е да отидем горе, в основното течение, където нашите химикали имат максимален ефект."
bulgarian,"The hurricane was so large, we knew it was going to affect with rain and strong winds all the north coast of Honduras, so warnings were out 20 hours in advance.","Ураганът беше толкова голям, че бяхме уверени, че ще има дъжд и силни вълни по целия северен бряг на Хондурас, и излъчихме предупреждение 20 часа предварително."
bulgarian,"The destructive power is in the very, very heavy rains, as circulation interacts with a very mountainous land mass - here Honduras, and Nicaragua down here.","Разрушителната сила се изразява в проливни дъждове, като въздушните маси взаимодействат с планинския терен - тук – Хондурас, и в Никарагуа."
bulgarian,The real disaster is yet to come in terms of mudslides and the very great catastrophes that occur as a result of several feet of water being deposited over the mountainous terrain.,Истинското бедствие тепърва предстои – калните порои. Най-големите катастрофи са когато дъждовете налеят метри вода на планинските скатове.
bulgarian,"Drawn out of the warm waters of the Gulf of Mexico by the Thermohaline Conveyor, the Gulf Stream runs practically the entire length of the North American coastline before reaching out east across the Atlantic towards the U""K"".","Издърпан от топлите води на Мексиканския залив от температурния Конвейер, Гълфстрийм обтича цялата дължина на Североамериканското крайбрежие, преди да достигне на изток до бреговете на Обединеното кралство."
bulgarian,"Six months after Mitch, an enormous number of seeds washed in, particularly on this beach - between 400-500 different species all from central South America on the Gulf Stream.","Шест месеца след Мич, Гълфстрийм довлече огромно количество семена, особено на тази бряг – около 400-500 различни растения, всички от средна Южна Америка."
bulgarian,"The force of water in a river can be lethal, but magnify that a thousand times and apply it to the ocean... and the results can be disastrous, as the residents of Hunstanton on the Norfolk coast learned to their cost.","Силата на водата в една река може да е смъртоносна, но я го умножете хилядократно и си представете океана... и резултатите са катастрофални, както научили на гърба си жителите на Хънстънгтън, Норфолк."
bulgarian,"By the time I got to this area to get these people off, they had certainly been on the roof of those houses since four or five o'clock in the afternoon, and this was like 11.30 at night.","Докато стигнем до хората, за да ги свалим, те със сигурност вече бяха стояли по покривите от 4 или 5 часа следобяда, а вече беше 11:30 вечерта."
bulgarian,"With wind blowing 120 mph, and they were soaking wet, and the rain and the freezing water, it would be amazing to me ""if all the 2""7""- 30 people"" that I got out all survive.","При вятър 200км/ч и напълно мокри, валящ дъжд и ледена вода, направо съм изумен как оцеляха всички 27-30 човека, които спасих."
bulgarian,"The beginning of the most disastrous of all the expeditions of the conquistadors, and yet one of the great epic stories in the history of the Americas.","Това е началото на най-пагубната конквистадорска експедиция, но и една от най-епичните случки в историята на двете Америки."
bulgarian,"Cabeza de Vaca wrote a remarkable account of his adventures and with it we set out to follow him across the Gulf of Mexico, to find out which way wind and tide might have taken him that autumn,","Кабеса де Вака води забележителен дневник на приключенията си. Благодарение на него, можем да проследим пътят му през Мексиканския залив, за да разберем накъде са го отнесли вятъра и отлива през онази есен,"
bulgarian,"That's interesting. When they pass the Mississippi mouth, they get caught up in a storm coming from the north that blows them right out to sea and nearly drowns them, in fact.","Когато са преминали устието на Мисисипи, са били хванати от приближаваща от север буря, която ги е запратила в открито море и за малко да ги потопи."
bulgarian,"You know, you look at all these great expeditions of the conquistadors and the terrible events that happened in the New World, Pizarro and everything else.","Поглеждаме към всички велики експедиции на конквистадорите и ужасните неща, които са се случили... Кортес, Пизаро и всичко останало."
bulgarian,"Yes, and there are places out here where there are oysters for several miles and, during low tide, they're exposed, probably at the time when they harvested them.","Да, има няколко места на които има стриди в продължение на мили, а по време на отлива се показват. Тогава са ги събирали."
bulgarian,"People before us have translated that word, or transcribed it, I should say, as margarita, which can mean pearls or pearl mica, which is abundant in the deserts of Arizona and New Mexico and they've used this to support the northern route.","Онези, които са се занимавали преди нас са превели думата, или по-точно - са я описали, като маргарита, което може да означава перли или перлена слюда. Пустините на Аризона и Ново Мексико са пълни с такава. Използвали са това, за да подкрепят теорията за маршрута на север."
bulgarian,"To follow them, we crossed the Rio Grande and entered the desolate landscape of horthern Mexico, , searching for Cabeza de Vaca's route into unknown America,","За да продължим по стъпките им, преминаваме Рио Гранде и навлизаме в пустите територии на северно Мексико в търсене пътя на Кабеса де Вака в непознатата Америка."
